,birth_country,year,destination,values
0,Australia,2006,Australia,"15,419,340"
1,Norfolk Island,2006,Australia,190
2,"Aust E T, nec",2006,Australia,0
3,New Zealand,2006,Australia,"437,890"
4,New Caledonia,2006,Australia,"1,240"
5,PNG,2006,Australia,"27,330"
6,Solomon Islands,2006,Australia,"1,700"
7,Vanuatu,2006,Australia,"1,210"
8,Guam,2006,Australia,90
9,Kiribati,2006,Australia,480
10,Marshall Is,2006,Australia,40
11,"Micronesia, F S",2006,Australia,30
12,Nauru,2006,Australia,580
13,N Mariana Is,2006,Australia,10
14,Palau,2006,Australia,10
15,Cook Islands,2006,Australia,"5,610"
16,Fiji,2006,Australia,"56,350"
17,French Poly,2006,Australia,390
18,Niue,2006,Australia,590
19,Samoa,2006,Australia,"17,170"
20,Samoa American,2006,Australia,200
21,Tokelau,2006,Australia,430
22,Tonga,2006,Australia,"8,720"
23,Tuvalu,2006,Australia,140
24,Wallis/Futuna,2006,Australia,20
25,Pitcairn Is,2006,Australia,0
26,"Polynesia, nec",2006,Australia,0
27,Adelie Land,2006,Australia,0
28,Argentinian A T,2006,Australia,0
29,Australian A T,2006,Australia,0
30,British A T,2006,Australia,0
31,Chilean A T,2006,Australia,0
32,Queen Maud Land,2006,Australia,0
33,Ross Dependency,2006,Australia,0
34,England,2006,Australia,"939,260"
35,Isle of Man,2006,Australia,770
36,N'thern Ireland,2006,Australia,"23,280"
37,Scotland,2006,Australia,"136,630"
38,Wales,2006,Australia,"31,810"
39,Guernsey,2006,Australia,630
40,Jersey,2006,Australia,"1,090"
41,Ireland,2006,Australia,"56,800"
42,Austria,2006,Australia,"20,950"
43,Belgium,2006,Australia,"5,920"
44,France,2006,Australia,"22,020"
45,Germany,2006,Australia,"124,710"
46,Liechtenstein,2006,Australia,20
47,Luxembourg,2006,Australia,190
48,Monaco,2006,Australia,50
49,Netherlands,2006,Australia,"91,850"
50,Switzerland,2006,Australia,"13,480"
51,Denmark,2006,Australia,"10,610"
52,Faroe Islands,2006,Australia,40
53,Finland,2006,Australia,"9,600"
54,Greenland,2006,Australia,30
55,Iceland,2006,Australia,670
56,Norway,2006,Australia,"4,430"
57,Sweden,2006,Australia,"8,960"
58,Aland Islands,2006,Australia,0
59,Andorra,2006,Australia,30
60,Gibraltar,2006,Australia,470
61,Holy See,2006,Australia,0
62,Italy,2006,Australia,"218,040"
63,Malta,2006,Australia,"51,160"
64,Portugal,2006,Australia,"18,280"
65,San Marino,2006,Australia,10
66,Spain,2006,Australia,"14,430"
67,Albania,2006,Australia,"2,410"
68,Bosnia/Herzegov,2006,Australia,"40,580"
69,Bulgaria,2006,Australia,"3,450"
70,Croatia,2006,Australia,"71,810"
71,Cyprus,2006,Australia,"22,350"
72,North Macedonia,2006,Australia,"51,650"
73,Greece,2006,Australia,"128,980"
74,Moldova,2006,Australia,870
75,Romania,2006,Australia,"16,110"
76,Slovenia,2006,Australia,"8,860"
77,Montenegro,2006,Australia,"1,850"
78,Serbia,2006,Australia,"35,920"
79,Kosovo,2006,Australia,0
80,Belarus,2006,Australia,"1,720"
81,Czechia,2006,Australia,"13,920"
82,Estonia,2006,Australia,"1,600"
83,Hungary,2006,Australia,"24,040"
84,Latvia,2006,Australia,"6,120"
85,Lithuania,2006,Australia,"3,210"
86,Poland,2006,Australia,"62,900"
87,Russia,2006,Australia,"18,540"
88,Slovakia,2006,Australia,"5,970"
89,Ukraine,2006,Australia,"17,010"
90,Algeria,2006,Australia,"1,330"
91,Egypt,2006,Australia,"39,370"
92,Libya,2006,Australia,"1,620"
93,Morocco,2006,Australia,"1,620"
94,Sudan,2006,Australia,"20,870"
95,Tunisia,2006,Australia,550
96,Western Sahara,2006,Australia,10
97,Sp North Africa,2006,Australia,0
98,South Sudan,2006,Australia,0
99,Bahrain,2006,Australia,"1,160"
100,Gaza Str/W Bank,2006,Australia,"3,260"
101,Iran,2006,Australia,"28,110"
102,Iraq,2006,Australia,"39,500"
103,Israel,2006,Australia,"9,440"
104,Jordan,2006,Australia,"4,310"
105,Kuwait,2006,Australia,"3,320"
