,birth_country,year,destination,population
256,Norfolk Island,1996,New South Wales,0
257,"Aust E T, nec",1996,New South Wales,0
258,New Zealand,1996,New South Wales,93910
259,New Caledonia,1996,New South Wales,0
260,PNG,1996,New South Wales,6320
261,Solomon Islands,1996,New South Wales,0
262,Vanuatu,1996,New South Wales,0
263,Guam,1996,New South Wales,0
264,Kiribati,1996,New South Wales,0
265,Marshall Is,1996,New South Wales,0
266,"Micronesia, F S",1996,New South Wales,0
267,Nauru,1996,New South Wales,0
268,N Mariana Is,1996,New South Wales,0
269,Palau,1996,New South Wales,0
270,Cook Islands,1996,New South Wales,0
271,Fiji,1996,New South Wales,24990
272,French Poly,1996,New South Wales,0
273,Niue,1996,New South Wales,0
274,Samoa,1996,New South Wales,0
275,Samoa American,1996,New South Wales,0
276,Tokelau,1996,New South Wales,0
277,Tonga,1996,New South Wales,0
278,Tuvalu,1996,New South Wales,0
279,Wallis/Futuna,1996,New South Wales,0
280,Pitcairn Is,1996,New South Wales,0
281,"Polynesia, nec",1996,New South Wales,0
282,Adelie Land,1996,New South Wales,0
283,Argentinian A T,1996,New South Wales,0
284,Australian A T,1996,New South Wales,0
285,British A T,1996,New South Wales,0
286,Chilean A T,1996,New South Wales,0
287,Queen Maud Land,1996,New South Wales,0
288,Ross Dependency,1996,New South Wales,0
289,England,1996,New South Wales,0
290,Isle of Man,1996,New South Wales,0
291,N'thern Ireland,1996,New South Wales,0
292,Scotland,1996,New South Wales,0
293,Wales,1996,New South Wales,0
294,Guernsey,1996,New South Wales,0
295,Jersey,1996,New South Wales,0
296,Ireland,1996,New South Wales,18020
297,Austria,1996,New South Wales,7840
298,Belgium,1996,New South Wales,0
299,France,1996,New South Wales,5900
300,Germany,1996,New South Wales,35230
301,Liechtenstein,1996,New South Wales,0
302,Luxembourg,1996,New South Wales,0
303,Monaco,1996,New South Wales,0
304,Netherlands,1996,New South Wales,22960
305,Switzerland,1996,New South Wales,3640
306,Denmark,1996,New South Wales,3000
307,Faroe Islands,1996,New South Wales,0
308,Finland,1996,New South Wales,2760
309,Greenland,1996,New South Wales,0
310,Iceland,1996,New South Wales,0
311,Norway,1996,New South Wales,0
312,Sweden,1996,New South Wales,0
313,Aland Islands,1996,New South Wales,0
314,Andorra,1996,New South Wales,0
315,Gibraltar,1996,New South Wales,0
